molecule_id,source_smiles,expected_status,expected_error_code,expected_preprocessing_status,expected_parent_standardization_status,expected_parent_smiles,qualification_categories
QLT_001,CCO,success,,success,unchanged,,ordinary_connected_neutral;simple_alcohol_small_polar;duplicate_structure
QLT_002,CC,success,,success,unchanged,,ordinary_connected_neutral;chemical_diversity
QLT_003,CC(=O)O,success,,success,unchanged,,ordinary_connected_neutral;small_polar;chemical_diversity
QLT_004,c1ccccc1,success,,success,unchanged,,aromatic;chemical_diversity
QLT_005,c1ccncc1,success,,success,unchanged,,aromatic;heterocycle;chemical_diversity
QLT_006,CCn1cnc2c(N)nc(F)nc21,success,,success,unchanged,,heterocycle;larger_drug_like;chemical_diversity
QLT_007,COc1ccc(NC(=O)CCF)cc1,success,,success,unchanged,,aromatic;larger_drug_like;chemical_diversity
QLT_008,CC(C)Cc1ccc(C(C)C(=O)NCCF)cc1,success,,success,unchanged,,aromatic;larger_drug_like;chemical_diversity
QLT_009,CCOC(=O)N1CCC(c2ccc(OC)c(F)c2)CC1,success,,success,unchanged,,aromatic;heterocycle;larger_drug_like;chemical_diversity
QLT_010,C1CCCCCCCCCCCCCCC1,success,,success,unchanged,,challenging_3d_geometry;chemical_diversity
QLT_011,CC[NH+](CC)CC.[Cl-],success,,success,parent_selected,CC[NH+](CC)CC,salt_multicomponent_parent_selection;disconnected_parent_policy
QLT_012,CCO.CN,success,,success,parent_selected,CCO,disconnected_parent_policy;chemical_diversity
QLT_013,not-a-smiles,failed,invalid_smiles,failed,not_started,,invalid_smiles
QLT_014,,failed,invalid_smiles,failed,not_started,,empty_input
QLT_015,[H].[H],failed,geometry_no_heavy_atoms,failed,parent_selected,[H],unsupported_disconnected;disconnected_parent_policy
QLT_016,Nc1ccccc1,success,,success,unchanged,,aromatic;ordinary_connected_neutral;chemical_diversity
QLT_017,CCO,success,,success,unchanged,,ordinary_connected_neutral;simple_alcohol_small_polar;duplicate_structure
